genre,title,author,avg_rating,total_ratings,year_published,image_url
Art,Ways of Seeing (Paperback),John Berger,3.93,404886,1972,/book/show/2784.Ways_of_Seeing
Art,The Story of Art (Hardcover),E.H. Gombrich,3.96,438581,1950,/book/show/222078.The_Story_of_Art
Art,Steal Like an Artist: 10 Things Nobody Told You About Being Creative (Paperback),Austin Kleon,3.96,314358,2012,/book/show/13099738-steal-like-an-artist
Art,The New Drawing on the Right Side of the Brain (Paperback),Betty Edwards,3.87,366203,1979,/book/show/627206.The_New_Drawing_on_the_Right_Side_of_the_Brain
Art,The Artist's Way: A Spiritual Path to Higher Creativity (Paperback),Julia Cameron,3.95,114575,2002,/book/show/615570.The_Artist_s_Way
Art,Art and Fear (Paperback),David Bayles,3.78,96957,1994,/book/show/187633.Art_and_Fear
Art,Wall and Piece (Paperback),Banksy,3.86,230161,2005,/book/show/114683.Wall_and_Piece
Art,The Art Book (Paperback),Phaidon Press,3.86,161508,1997,/book/show/567616.The_Art_Book
Art,Girl with a Pearl Earring (Paperback),Tracy Chevalier,3.93,759074,1999,/book/show/2865.Girl_with_a_Pearl_Earring
Art,The Letters of Vincent van Gogh (Paperback),Vincent van Gogh,4.10,104037,1914,/book/show/395233.The_Letters_of_Vincent_van_Gogh
Art,Concerning the Spiritual in Art (Paperback),Wassily Kandinsky,3.84,88703,1912,/book/show/857502.Concerning_the_Spiritual_in_Art
Art,Seven Days in the Art World (Paperback),Sarah Thornton,3.63,67575,2008,/book/show/6988014-seven-days-in-the-art-world
Art,Color and Light: A Guide for the Realist Painter (Volume 2) (James Gurney Art),James Gurney,4.21,15437,2010,/book/show/8384010-color-and-light
Art,The Goldfinch (Hardcover),Donna Tartt,3.96,987413,2013,/book/show/17333223-the-goldfinch
Art,On Photography (Paperback),Susan Sontag,3.89,51781,1973,/book/show/52372.On_Photography
Art,History of Beauty (Paperback),Umberto Eco,3.84,63657,2004,/book/show/10505.History_of_Beauty
